word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
פָּנֶֽיהָ,37,6440,H6440,HNcbpc/Sp3fs,HNcbpc/Sp3fs,Suffix (Pronominal),,,,3,Singular,Construct,Feminine,,
וּמַלְקָחֶ֥יהָ,38,c/4457,H4457,HC/Ncmdc/Sp3fs,HC/Ncmdc/Sp3fs,Suffix (Pronominal),,,,3,Singular,Construct,Feminine,,
וּמַחְתֹּתֶ֖יהָ,38,c/4289,H4289,HC/Ncfpc/Sp3fs,HC/Ncfpc/Sp3fs,Suffix (Pronominal),,,,3,Singular,Construct,Feminine,,
זָהָ֥ב,38,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
טָהֽוֹר,38,2889,H2889,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
כִּכָּ֛ר,39,3603,H3603,HNcbsa,HNcbsa,Noun (Common),,,,,Singular,Absolute,Both,,
זָהָ֥ב,39,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
טָה֖וֹר,39,2889,H2889,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
יַעֲשֶׂ֣ה,39,6213 a,H6213,HVqi3ms,HVqi3ms,Verb,Imperfect,Qal,Indicative,3,Singular,,Masculine,,
אֹתָ֑הּ,39,853,H853,HTo/Sp3fs,HTo/Sp3fs,Suffix (Pronominal),,,,3,Singular,,Feminine,,
אֵ֥ת,39,854,H854,HR,HR,Preposition,,,,,,,,,
כָּל,39,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הַכֵּלִ֖ים,39,d/3627,H3627,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
הָאֵֽלֶּה,39,d/428,H428,HTd/Pdxcp,HTd/Pdxcp,Pronoun (Demonstrative),,,,x,Plural,,Common,,
וּרְאֵ֖ה,40,c/7200,H7200,HC/Vqv2ms,HC/Vqv2ms,Verb,Imperative,Qal,Imperative,2,Singular,,Masculine,,
וַעֲשֵׂ֑ה,40,c/6213 a,H6213,HC/Vqv2ms,HC/Vqv2ms,Verb,Imperative,Qal,Imperative,2,Singular,,Masculine,,
בְּתַ֨בְנִיתָ֔ם,40,b/8403,H8403,HR/Ncfsc/Sp3mp,HR/Ncfsc/Sp3mp,Suffix (Pronominal),,,,3,Plural,Construct,Masculine,,
אֲשֶׁר,40,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
אַתָּ֥ה,40,859 a,H859,HPp2ms,HPp2ms,Pronoun (Personal),,,,2,Singular,,Masculine,,
מָרְאֶ֖ה,40,7200,H7200,HVHsmsa,HVHsmsa,Verb,Participle passive,Hophal,Participle,,Singular,Absolute,Masculine,,
בָּהָֽר,40,b/2022,H2022,HRd/Ncmsa,HRd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
