key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
WLC-Exod-025-017-009,וָחֵ֖צִי,17,9,c/2677,H2677,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-017-010,רָחְבָּֽהּ,17,10,7341,H7341,HNcmsc/Sp3fs,HNcmsc/Sp3fs,Suffix (Pronominal),,,,3,Singular,Construct,Feminine,,
18,18,18,,,,,,,,,,,,,,,
WLC-Exod-025-018-001,וְעָשִׂ֛יתָ,18,1,c/6213 a,H6213,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-018-002,שְׁנַ֥יִם,18,2,8147,H8147,HAcmda,HAcmda,Adjective,,,,,Dual,Absolute,Masculine,,
WLC-Exod-025-018-003,כְּרֻבִ֖ים,18,3,3742,H3742,HNcmpa,HNcmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
WLC-Exod-025-018-004,זָהָ֑ב,18,4,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-018-005,מִקְשָׁה֙,18,5,4749,H4749,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-018-006,תַּעֲשֶׂ֣ה,18,6,6213 a,H6213,HVqi2ms,HVqi2ms,Verb,Imperfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-018-007,אֹתָ֔ם,18,7,853,H853,HTo/Sp3mp,HTo/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
WLC-Exod-025-018-008,מִשְּׁנֵ֖י,18,8,m/8147,H8147,HR/Acmdc,HR/Acmdc,c,,,,,,,,,
WLC-Exod-025-018-009,קְצ֥וֹת,18,9,7098,H7098,HNcbpc,HNcbpc,Noun (Common),,,,,Plural,Construct,Both,,
