LXX_key,LXX,WLC_key,WLC
LXX-Exod-025-014-012,τῆς,WLC-Exod-025-014-005,עַ֖ל
LXX-Exod-025-014-013,κιβωτοῦ,WLC-Exod-025-014-006,צַלְעֹ֣ת
LXX-Exod-025-014-014,αἴρειν,WLC-Exod-025-014-007,הָאָרֹ֑ן
LXX-Exod-025-014-015,τὴν,WLC-Exod-025-014-008,לָשֵׂ֥את
LXX-Exod-025-014-016,κιβωτὸν,WLC-Exod-025-014-009,אֶת
LXX-Exod-025-014-017,ἐν,WLC-Exod-025-014-010,הָאָרֹ֖ן
LXX-Exod-025-014-018,αὐτοῖς,WLC-Exod-025-014-011,בָּהֶֽם
15,15,15,15
LXX-Exod-025-015-001,ἐν,,
LXX-Exod-025-015-002,τοῖς,,
LXX-Exod-025-015-003,δακτυλίοις,WLC-Exod-025-015-001,בְּטַבְּעֹת֙
LXX-Exod-025-015-004,τῆς,WLC-Exod-025-015-002,הָאָרֹ֔ן
LXX-Exod-025-015-005,κιβωτοῦ,WLC-Exod-025-015-003,יִהְי֖וּ
LXX-Exod-025-015-006,ἔσονται,WLC-Exod-025-015-004,הַבַּדִּ֑ים
LXX-Exod-025-015-007,οἱ,WLC-Exod-025-015-005,לֹ֥א
LXX-Exod-025-015-008,ἀναφορεῖς,WLC-Exod-025-015-006,יָסֻ֖רוּ
LXX-Exod-025-015-009,ἀκίνητοι,WLC-Exod-025-015-007,מִמֶּֽנּוּ
16,16,16,16
LXX-Exod-025-016-001,καὶ,,
LXX-Exod-025-016-002,ἐμβαλεῖς,,
LXX-Exod-025-016-003,εἰς,,
LXX-Exod-025-016-004,τὴν,WLC-Exod-025-016-001,וְנָתַתָּ֖
LXX-Exod-025-016-005,κιβωτὸν,WLC-Exod-025-016-002,אֶל
LXX-Exod-025-016-006,τὰ,WLC-Exod-025-016-003,הָאָרֹ֑ן
LXX-Exod-025-016-007,μαρτύρια,WLC-Exod-025-016-004,אֵ֚ת
LXX-Exod-025-016-008,ἃ,WLC-Exod-025-016-005,הָעֵדֻ֔ת
LXX-Exod-025-016-009,ἂν,WLC-Exod-025-016-006,אֲשֶׁ֥ר
LXX-Exod-025-016-010,δῶ,WLC-Exod-025-016-007,אֶתֵּ֖ן
LXX-Exod-025-016-011,σοι,WLC-Exod-025-016-008,אֵלֶֽיךָ
17,17,17,17
LXX-Exod-025-017-001,καὶ,,
LXX-Exod-025-017-002,ποιήσεις,,
LXX-Exod-025-017-003,ἱλαστήριον,,
LXX-Exod-025-017-004,ἐπίθεμα,,
LXX-Exod-025-017-005,χρυσίου,,
LXX-Exod-025-017-006,καθαροῦ,,
LXX-Exod-025-017-007,δύο,,
LXX-Exod-025-017-008,πήχεων,,
LXX-Exod-025-017-009,καὶ,WLC-Exod-025-017-001,וְעָשִׂ֥יתָ
LXX-Exod-025-017-010,ἡμίσους,WLC-Exod-025-017-002,כַפֹּ֖רֶת
LXX-Exod-025-017-011,τὸ,WLC-Exod-025-017-003,זָהָ֣ב
LXX-Exod-025-017-012,μῆκος,WLC-Exod-025-017-004,טָה֑וֹר
LXX-Exod-025-017-013,καὶ,WLC-Exod-025-017-005,אַמָּתַ֤יִם
LXX-Exod-025-017-014,πήχεος,WLC-Exod-025-017-006,וָחֵ֨צִי֙
LXX-Exod-025-017-015,καὶ,WLC-Exod-025-017-007,אָרְכָּ֔הּ
LXX-Exod-025-017-016,ἡμίσους,WLC-Exod-025-017-008,וְאַמָּ֥ה
LXX-Exod-025-017-017,τὸ,WLC-Exod-025-017-009,וָחֵ֖צִי
LXX-Exod-025-017-018,πλάτος,WLC-Exod-025-017-010,רָחְבָּֽהּ
18,18,18,18
LXX-Exod-025-018-001,καὶ,,
LXX-Exod-025-018-002,ποιήσεις,,
LXX-Exod-025-018-003,δύο,,
LXX-Exod-025-018-004,χερουβιμ,,
LXX-Exod-025-018-005,χρυσᾶ,,
LXX-Exod-025-018-006,τορευτὰ,WLC-Exod-025-018-001,וְעָשִׂ֛יתָ
LXX-Exod-025-018-007,καὶ,WLC-Exod-025-018-002,שְׁנַ֥יִם
LXX-Exod-025-018-008,ἐπιθήσεις,WLC-Exod-025-018-003,כְּרֻבִ֖ים
LXX-Exod-025-018-009,αὐτὰ,WLC-Exod-025-018-004,זָהָ֑ב
LXX-Exod-025-018-010,ἐξ,WLC-Exod-025-018-005,מִקְשָׁה֙
LXX-Exod-025-018-011,ἀμφοτέρων,WLC-Exod-025-018-006,תַּעֲשֶׂ֣ה
LXX-Exod-025-018-012,τῶν,WLC-Exod-025-018-007,אֹתָ֔ם
LXX-Exod-025-018-013,κλιτῶν,WLC-Exod-025-018-008,מִשְּׁנֵ֖י
LXX-Exod-025-018-014,τοῦ,WLC-Exod-025-018-009,קְצ֥וֹת
LXX-Exod-025-018-015,ἱλαστηρίου,WLC-Exod-025-018-010,הַכַּפֹּֽרֶת
19,19,19,19
LXX-Exod-025-019-001,ποιηθήσονται,,
LXX-Exod-025-019-002,χερουβ,,
LXX-Exod-025-019-003,εἷς,,
LXX-Exod-025-019-004,ἐκ,,
LXX-Exod-025-019-005,τοῦ,,
LXX-Exod-025-019-006,κλίτους,,
LXX-Exod-025-019-007,τούτου,,
LXX-Exod-025-019-008,καὶ,,
LXX-Exod-025-019-009,χερουβ,,
LXX-Exod-025-019-010,εἷς,WLC-Exod-025-019-001,וַ֠עֲשֵׂה
LXX-Exod-025-019-011,ἐκ,WLC-Exod-025-019-002,כְּר֨וּב
LXX-Exod-025-019-012,τοῦ,WLC-Exod-025-019-003,אֶחָ֤ד
LXX-Exod-025-019-013,κλίτους,WLC-Exod-025-019-004,מִקָּצָה֙
LXX-Exod-025-019-014,τοῦ,WLC-Exod-025-019-005,מִזֶּ֔ה
LXX-Exod-025-019-015,δευτέρου,WLC-Exod-025-019-006,וּכְרוּב
LXX-Exod-025-019-016,τοῦ,WLC-Exod-025-019-007,אֶחָ֥ד
LXX-Exod-025-019-017,ἱλαστηρίου,WLC-Exod-025-019-008,מִקָּצָ֖ה
LXX-Exod-025-019-018,καὶ,WLC-Exod-025-019-009,מִזֶּ֑ה
LXX-Exod-025-019-019,ποιήσεις,WLC-Exod-025-019-010,מִן
LXX-Exod-025-019-020,τοὺς,WLC-Exod-025-019-011,הַכַּפֹּ֛רֶת
LXX-Exod-025-019-021,δύο,WLC-Exod-025-019-012,תַּעֲשׂ֥וּ
LXX-Exod-025-019-022,χερουβιμ,WLC-Exod-025-019-013,אֶת
LXX-Exod-025-019-023,ἐπὶ,WLC-Exod-025-019-014,הַכְּרֻבִ֖ים
LXX-Exod-025-019-024,τὰ,WLC-Exod-025-019-015,עַל
LXX-Exod-025-019-025,δύο,WLC-Exod-025-019-016,שְׁנֵ֥י
LXX-Exod-025-019-026,κλίτη,WLC-Exod-025-019-017,קְצוֹתָֽיו
20,20,20,20
LXX-Exod-025-020-001,ἔσονται,,
LXX-Exod-025-020-002,οἱ,,
LXX-Exod-025-020-003,χερουβιμ,,
LXX-Exod-025-020-004,ἐκτείνοντες,,
LXX-Exod-025-020-005,τὰς,,
LXX-Exod-025-020-006,πτέρυγας,,
LXX-Exod-025-020-007,ἐπάνωθεν,,
LXX-Exod-025-020-008,συσκιάζοντες,,
LXX-Exod-025-020-009,ταῖς,,
LXX-Exod-025-020-010,πτέρυξιν,,
LXX-Exod-025-020-011,αὐτῶν,WLC-Exod-025-020-001,וְהָי֣וּ
LXX-Exod-025-020-012,ἐπὶ,WLC-Exod-025-020-002,הַכְּרֻבִים֩
LXX-Exod-025-020-013,τοῦ,WLC-Exod-025-020-003,פֹּרְשֵׂ֨י
LXX-Exod-025-020-014,ἱλαστηρίου,WLC-Exod-025-020-004,כְנָפַ֜יִם
LXX-Exod-025-020-015,καὶ,WLC-Exod-025-020-005,לְמַ֗עְלָה
LXX-Exod-025-020-016,τὰ,WLC-Exod-025-020-006,סֹכְכִ֤ים
LXX-Exod-025-020-017,πρόσωπα,WLC-Exod-025-020-007,בְּכַנְפֵיהֶם֙
LXX-Exod-025-020-018,αὐτῶν,WLC-Exod-025-020-008,עַל
LXX-Exod-025-020-019,εἰς,WLC-Exod-025-020-009,הַכַּפֹּ֔רֶת
LXX-Exod-025-020-020,ἄλληλα,WLC-Exod-025-020-010,וּפְנֵיהֶ֖ם
LXX-Exod-025-020-021,εἰς,WLC-Exod-025-020-011,אִ֣ישׁ
LXX-Exod-025-020-022,τὸ,WLC-Exod-025-020-012,אֶל
LXX-Exod-025-020-023,ἱλαστήριον,WLC-Exod-025-020-013,אָחִ֑יו
LXX-Exod-025-020-024,ἔσονται,WLC-Exod-025-020-014,אֶל
LXX-Exod-025-020-025,τὰ,WLC-Exod-025-020-015,הַכַּפֹּ֔רֶת
LXX-Exod-025-020-026,πρόσωπα,WLC-Exod-025-020-016,יִהְי֖וּ
LXX-Exod-025-020-027,τῶν,WLC-Exod-025-020-017,פְּנֵ֥י
LXX-Exod-025-020-028,χερουβιμ,WLC-Exod-025-020-018,הַכְּרֻבִֽים
21,21,21,21
LXX-Exod-025-021-001,καὶ,,
LXX-Exod-025-021-002,ἐπιθήσεις,,
LXX-Exod-025-021-003,τὸ,,
LXX-Exod-025-021-004,ἱλαστήριον,,
LXX-Exod-025-021-005,ἐπὶ,,
LXX-Exod-025-021-006,τὴν,WLC-Exod-025-021-001,וְנָתַתָּ֧
LXX-Exod-025-021-007,κιβωτὸν,WLC-Exod-025-021-002,אֶת
LXX-Exod-025-021-008,ἄνωθεν,WLC-Exod-025-021-003,הַכַּפֹּ֛רֶת
LXX-Exod-025-021-009,καὶ,WLC-Exod-025-021-004,עַל
LXX-Exod-025-021-010,εἰς,WLC-Exod-025-021-005,הָאָרֹ֖ן
LXX-Exod-025-021-011,τὴν,WLC-Exod-025-021-006,מִלְמָ֑עְלָה
LXX-Exod-025-021-012,κιβωτὸν,WLC-Exod-025-021-007,וְאֶל
LXX-Exod-025-021-013,ἐμβαλεῖς,WLC-Exod-025-021-008,הָ֣אָרֹ֔ן
LXX-Exod-025-021-014,τὰ,WLC-Exod-025-021-009,תִּתֵּן֙
LXX-Exod-025-021-015,μαρτύρια,WLC-Exod-025-021-010,אֶת
LXX-Exod-025-021-016,ἃ,WLC-Exod-025-021-011,הָ֣עֵדֻ֔ת
LXX-Exod-025-021-017,ἂν,WLC-Exod-025-021-012,אֲשֶׁ֥ר
LXX-Exod-025-021-018,δῶ,WLC-Exod-025-021-013,אֶתֵּ֖ן
LXX-Exod-025-021-019,σοι,WLC-Exod-025-021-014,אֵלֶֽיךָ
22,22,22,22
LXX-Exod-025-022-001,καὶ,,
LXX-Exod-025-022-002,γνωσθήσομαί,,
LXX-Exod-025-022-003,σοι,,
LXX-Exod-025-022-004,ἐκεῖθεν,,
LXX-Exod-025-022-005,καὶ,,
LXX-Exod-025-022-006,λαλήσω,,
LXX-Exod-025-022-007,σοι,,
LXX-Exod-025-022-008,ἄνωθεν,,
LXX-Exod-025-022-009,τοῦ,,
LXX-Exod-025-022-010,ἱλαστηρίου,,
LXX-Exod-025-022-011,ἀνὰ,,
LXX-Exod-025-022-012,μέσον,WLC-Exod-025-022-001,וְנוֹעַדְתִּ֣י
LXX-Exod-025-022-013,τῶν,WLC-Exod-025-022-002,לְךָ֮
LXX-Exod-025-022-014,δύο,WLC-Exod-025-022-003,שָׁם֒
